CISP;mes;vano;municipio_isp;cod_isp
1;1;2003;Rio de Janeiro;3304557
4;1;2003;Rio de Janeiro;3304557
5;1;2003;Rio de Janeiro;3304557
6;1;2003;Rio de Janeiro;3304557
7;1;2003;Rio de Janeiro;3304557
9;1;2003;Rio de Janeiro;3304557
10;1;2003;Rio de Janeiro;3304557
12;1;2003;Rio de Janeiro;3304557
13;1;2003;Rio de Janeiro;3304557
14;1;2003;Rio de Janeiro;3304557
15;1;2003;Rio de Janeiro;3304557
16;1;2003;Rio de Janeiro;3304557
17;1;2003;Rio de Janeiro;3304557
18;1;2003;Rio de Janeiro;3304557
19;1;2003;Rio de Janeiro;3304557
20;1;2003;Rio de Janeiro;3304557
21;1;2003;Rio de Janeiro;3304557
22;1;2003;Rio de Janeiro;3304557
23;1;2003;Rio de Janeiro;3304557
24;1;2003;Rio de Janeiro;3304557
25;1;2003;Rio de Janeiro;3304557
26;1;2003;Rio de Janeiro;3304557
27;1;2003;Rio de Janeiro;3304557
28;1;2003;Rio de Janeiro;3304557
29;1;2003;Rio de Janeiro;3304557
30;1;2003;Rio de Janeiro;3304557
31;1;2003;Rio de Janeiro;3304557
32;1;2003;Rio de Janeiro;3304557
33;1;2003;Rio de Janeiro;3304557
34;1;2003;Rio de Janeiro;3304557
35;1;2003;Rio de Janeiro;3304557
36;1;2003;Rio de Janeiro;3304557
37;1;2003;Rio de Janeiro;3304557
38;1;2003;Rio de Janeiro;3304557
39;1;2003;Rio de Janeiro;3304557
40;1;2003;Rio de Janeiro;3304557
41;1;2003;Rio de Janeiro;3304557
44;1;2003;Rio de Janeiro;3304557
48;1;2003;Seropédica;3305554
50;1;2003;Itaguaí;3302007
51;1;2003;Paracambi;3303609
52;1;2003;Nova Iguaçu;3303500
53;1;2003;Mesquita;3302858
54;1;2003;Belford Roxo;3300456
55;1;2003;"Queimados;Japeri";9999981
56;1;2003;Nova Iguaçu;3303500
57;1;2003;Nilópolis;3303203
58;1;2003;Nova Iguaçu;3303500
59;1;2003;Duque de Caxias;3301702
60;1;2003;Duque de Caxias;3301702
61;1;2003;Duque de Caxias;3301702
62;1;2003;Duque de Caxias;3301702
64;1;2003;São João de Meriti;3305109
65;1;2003;"Magé;Guapimirim";9999982
66;1;2003;Magé;3302502
71;1;2003;"Itaboraí;Tanguá";9999983
72;1;2003;São Gonçalo;3304904
73;1;2003;São Gonçalo;3304904
74;1;2003;São Gonçalo;3304904
75;1;2003;São Gonçalo;3304904
76;1;2003;Niterói;3303302
77;1;2003;Niterói;3303302
78;1;2003;Niterói;3303302
79;1;2003;Niterói;3303302
81;1;2003;Niterói;3303302
82;1;2003;Maricá;3302700
88;1;2003;Barra do Pirai;3300308
89;1;2003;Resende;3304201
90;1;2003;Barra Mansa;3300407
91;1;2003;Valença;3306107
92;1;2003;Rio das Flores;3304508
93;1;2003;Volta Redonda;3306305
94;1;2003;"Piraí;Pinheiral";9999988
95;1;2003;Vassouras;3306206
96;1;2003;"Miguel Pereira;Paty dos Alferes";9999999
97;1;2003;Mendes;3302809
98;1;2003;Engenheiro Paulo de Frontin;3301801
99;1;2003;Itatiaia;3302254
100;1;2003;"Porto Real;Quatis";9999992
104;1;2003;São José do Vale do Rio Preto;3305158
105;1;2003;Petrópolis;3303906
106;1;2003;Petrópolis;3303906
107;1;2003;Paraíba do Sul;3303708
108;1;2003;"Comendador Levy Gasparian;Areal;Três Rios";9999991
109;1;2003;Sapucaia;3305406
110;1;2003;Teresópolis;3305802
111;1;2003;Sumidouro;3305703
112;1;2003;Carmo;3301207
118;1;2003;Araruama;3300209
119;1;2003;Rio Bonito;3304300
120;1;2003;Silva Jardim;3305604
121;1;2003;Casimiro de Abreu;3301306
122;1;2003;Conceição de Macabú;3301405
123;1;2003;"Macaé;Quissamã;Carapebus";9999984
124;1;2003;Saquarema;3305505
125;1;2003;São Pedro da Aldeia;3305208
126;1;2003;"Cabo Frio;Arraial do Cabo";9999985
127;1;2003;Armação dos Búzios;3300233
128;1;2003;Rio das Ostras;3304524
129;1;2003;Iguaba Grande;3301876
134;1;2003;Campos dos Goytacazes;3301009
135;1;2003;Itaocara;3302106
136;1;2003;"Santo Antônio de Pádua;Aperibé";9999993
137;1;2003;Miracema;3303005
138;1;2003;Laje do Muriaé;3302304
139;1;2003;Porciúncula;3304102
140;1;2003;"Natividade;Varre-Sai";9999997
141;1;2003;São Fidélis;3304805
142;1;2003;Cambuci;3300902
143;1;2003;"Itaperuna;São José de Ubá;Cardoso Moreira;Italva";9999986
144;1;2003;Bom Jesus de Itabapoana;3300605
145;1;2003;São João da Barra;3305000
146;1;2003;"Campos dos Goytacazes;São Francisco de Itabapoana";9999987
151;1;2003;Nova Friburgo;3303401
152;1;2003;Duas Barras;3301603
153;1;2003;Cantagalo;3301108
154;1;2003;"Cordeiro;Macuco";9999998
155;1;2003;São Sebastião do Alto;3305307
156;1;2003;Santa Maria Madalena;3304607
157;1;2003;Trajano de Morais;3305901
158;1;2003;Bom Jardim;3300506
159;1;2003;Cachoeiras de Macacu;3300803
165;1;2003;Mangaratiba;3302601
166;1;2003;Angra dos Reis;3300100
167;1;2003;Paraty;3303807
168;1;2003;Rio Claro;3304409
1;2;2003;Rio de Janeiro;3304557
4;2;2003;Rio de Janeiro;3304557
5;2;2003;Rio de Janeiro;3304557
6;2;2003;Rio de Janeiro;3304557
7;2;2003;Rio de Janeiro;3304557
9;2;2003;Rio de Janeiro;3304557
10;2;2003;Rio de Janeiro;3304557
12;2;2003;Rio de Janeiro;3304557
13;2;2003;Rio de Janeiro;3304557
14;2;2003;Rio de Janeiro;3304557
15;2;2003;Rio de Janeiro;3304557
16;2;2003;Rio de Janeiro;3304557
17;2;2003;Rio de Janeiro;3304557
18;2;2003;Rio de Janeiro;3304557
19;2;2003;Rio de Janeiro;3304557
20;2;2003;Rio de Janeiro;3304557
21;2;2003;Rio de Janeiro;3304557
22;2;2003;Rio de Janeiro;3304557
23;2;2003;Rio de Janeiro;3304557
24;2;2003;Rio de Janeiro;3304557
25;2;2003;Rio de Janeiro;3304557
26;2;2003;Rio de Janeiro;3304557
27;2;2003;Rio de Janeiro;3304557
28;2;2003;Rio de Janeiro;3304557
29;2;2003;Rio de Janeiro;3304557
30;2;2003;Rio de Janeiro;3304557
31;2;2003;Rio de Janeiro;3304557
32;2;2003;Rio de Janeiro;3304557
33;2;2003;Rio de Janeiro;3304557
34;2;2003;Rio de Janeiro;3304557
35;2;2003;Rio de Janeiro;3304557
36;2;2003;Rio de Janeiro;3304557
37;2;2003;Rio de Janeiro;3304557
38;2;2003;Rio de Janeiro;3304557
39;2;2003;Rio de Janeiro;3304557
40;2;2003;Rio de Janeiro;3304557
41;2;2003;Rio de Janeiro;3304557
44;2;2003;Rio de Janeiro;3304557
48;2;2003;Seropédica;3305554
50;2;2003;Itaguaí;3302007
51;2;2003;Paracambi;3303609
52;2;2003;Nova Iguaçu;3303500
53;2;2003;Mesquita;3302858
54;2;2003;Belford Roxo;3300456
55;2;2003;"Queimados;Japeri";9999981
56;2;2003;Nova Iguaçu;3303500
57;2;2003;Nilópolis;3303203
58;2;2003;Nova Iguaçu;3303500
59;2;2003;Duque de Caxias;3301702
60;2;2003;Duque de Caxias;3301702
61;2;2003;Duque de Caxias;3301702
62;2;2003;Duque de Caxias;3301702
64;2;2003;São João de Meriti;3305109
65;2;2003;"Magé;Guapimirim";9999982
66;2;2003;Magé;3302502
