Relatório Meteorológico da Estação: Guaratiba

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   Chuva  DirVento  VelVento  Temperatura  Pressao  Umidade
                                     (graus)     (Km/h)    (celsius)    (hPa)      (%)
01/01/2019  00:00:00  HBV     0.0       056       1.4         23.6   1008.0       ND
01/01/2019  00:15:00  HBV     0.0       029       2.8         23.6   1008.0       ND
01/01/2019  00:30:00  HBV     0.0       065       2.1         24.0   1008.0       ND
01/01/2019  00:45:00  HBV     0.0       048       2.5         22.7   1007.7       ND
01/01/2019  01:00:00  HBV     0.0         -       0.0         23.2   1007.7       ND
01/01/2019  01:15:00  HBV     0.0       051       1.4         23.2   1007.5       ND
01/01/2019  01:30:00  HBV     0.0       044       2.1         22.9   1007.2       ND
01/01/2019  01:45:00  HBV     0.0       052       3.5         23.4   1007.2       ND
01/01/2019  02:00:00  HBV     0.0       074       1.8         22.9   1007.1       ND
01/01/2019  02:15:00  HBV     0.0       056       2.1         22.9   1007.0       ND
01/01/2019  02:30:00  HBV     0.0       034       2.8         22.7   1006.7       ND
01/01/2019  02:45:00  HBV     0.0       051       2.8         22.7   1006.7       ND
01/01/2019  03:00:00  HBV     0.0       034       3.2         22.7   1006.7       ND
01/01/2019  03:15:00  HBV     0.0       034       2.1         22.7   1006.7       ND
01/01/2019  03:30:00  HBV     0.0       036       2.5         22.6   1006.7       ND
01/01/2019  03:45:00  HBV     0.0       045       2.1         22.9   1006.7       ND
01/01/2019  04:00:00  HBV     0.0       037       4.2         23.0   1006.7       ND
01/01/2019  04:15:00  HBV     0.0       073       2.5         22.7   1006.7       ND
01/01/2019  04:30:00  HBV     0.0       042       2.1         23.0   1006.9       ND
01/01/2019  04:45:00  HBV     0.0       041       1.1         23.1   1007.0       ND
01/01/2019  05:00:00  HBV     0.0       031       2.8         22.9   1007.2       ND
01/01/2019  05:15:00  HBV     0.0       056       2.5         23.2   1007.5       ND
01/01/2019  05:30:00  HBV     0.0       058       2.5         23.2   1007.5       ND
01/01/2019  05:45:00  HBV     0.0       077       3.9         22.6   1007.5       ND
01/01/2019  06:00:00  HBV     0.0       049       2.5         23.0   1007.6       ND
01/01/2019  06:15:00  HBV     0.0       062       4.9         23.2   1007.6       ND
01/01/2019  06:30:00  HBV     0.0       069       3.9         22.9   1008.1       ND
01/01/2019  06:45:00  HBV     0.0       079       3.2         24.0   1008.2       ND
01/01/2019  07:00:00  HBV     0.0       075       2.1         24.9   1008.4       ND
01/01/2019  07:15:00  HBV     0.0       063       1.4         26.4   1008.4       ND
01/01/2019  07:30:00  HBV     0.0       075       3.5         27.3   1008.7       ND
01/01/2019  07:45:00  HBV     0.0       047       5.6         28.6   1008.8       ND
01/01/2019  08:00:00  HBV     0.0       058       3.2         29.2   1008.8       ND
01/01/2019  08:15:00  HBV     0.0       070       6.0         29.7   1009.2       ND
01/01/2019  08:30:00  HBV     0.0       033       6.0         29.9   1009.1       ND
01/01/2019  08:45:00  HBV     0.0       021       2.5         31.3   1009.1       ND
01/01/2019  09:00:00  HBV     0.0       355       3.2         31.5   1009.3       ND
01/01/2019  09:15:00  HBV     0.0       050       4.2         32.0   1009.7       ND
01/01/2019  09:30:00  HBV     0.0       196       7.4         31.2   1009.7       ND
01/01/2019  09:45:00  HBV     0.0       070       2.8         31.0   1009.4       ND
01/01/2019  10:00:00  HBV     0.0       190       3.2         32.4   1009.7       ND
01/01/2019  10:15:00  HBV     0.0       077       6.7         34.2   1009.7       ND
01/01/2019  10:30:00  HBV     0.0       092       9.2         34.7   1009.7       ND
01/01/2019  10:45:00  HBV     0.0       091       9.9         34.3   1009.5       ND
01/01/2019  11:00:00  HBV     0.0         -       0.0         35.9   1009.4       ND
01/01/2019  11:15:00  HBV     0.0       028       4.9         33.6   1009.7       ND
01/01/2019  11:30:00  HBV     0.0       034       5.6         36.8   1009.4       ND
01/01/2019  11:45:00  HBV     0.0       161       7.4         34.3   1009.2       ND
01/01/2019  12:00:00  HBV     0.0       167      13.4         31.4   1009.2       ND
01/01/2019  12:15:00  HBV     0.0       176      16.9         29.8   1008.7       ND
01/01/2019  12:30:00  HBV     0.0       176      18.0         29.3   1008.9       ND
01/01/2019  12:45:00  HBV     0.0       155      21.5         29.7   1008.9       ND
01/01/2019  13:00:00  HBV     0.0       156      21.9         29.5   1008.8       ND
01/01/2019  13:15:00  HBV     0.0       188      21.2         29.0   1009.1       ND
01/01/2019  13:30:00  HBV     0.0       165      24.3         29.7   1008.8       ND
01/01/2019  13:45:00  HBV     0.0       165      17.3         30.1   1009.1       ND
01/01/2019  14:00:00  HBV     0.0       179      24.0         31.0   1009.1       ND
01/01/2019  14:15:00  HBV     0.0       164      19.8         30.7   1008.8       ND
01/01/2019  14:30:00  HBV     0.0       213      15.5         29.6   1009.1       ND
01/01/2019  14:45:00  HBV     0.0       180      12.7         30.7   1009.1       ND
01/01/2019  15:00:00  HBV     0.0       181      13.8         29.9   1009.1       ND
01/01/2019  15:15:00  HBV     0.0       185      12.7         29.3   1008.8       ND
01/01/2019  15:30:00  HBV     0.0       216       7.4         30.2   1009.1       ND
01/01/2019  15:45:00  HBV     0.0       216      10.6         29.8   1008.8       ND
01/01/2019  16:00:00  HBV     0.0       267       5.6         29.1   1009.2       ND
01/01/2019  16:15:00  HBV     0.0       176       9.2         30.3   1008.8       ND
01/01/2019  16:30:00  HBV     0.0       187       9.2         29.7   1008.9       ND
01/01/2019  16:45:00  HBV     0.0       172       8.8         29.6   1009.2       ND
01/01/2019  17:00:00  HBV     0.0       192       8.5         28.2   1008.8       ND
01/01/2019  17:15:00  HBV     0.0       183      12.7         29.0   1008.8       ND
01/01/2019  17:30:00  HBV     0.0       181       8.5         29.6   1008.1       ND
01/01/2019  17:45:00  HBV     0.0       123       5.3         29.3   1008.6       ND
01/01/2019  18:00:00  HBV     0.0       186       7.1         28.4   1009.1       ND
01/01/2019  18:15:00  HBV     0.0       148      10.2         28.5   1009.1       ND
01/01/2019  18:30:00  HBV     0.0       160       8.8         27.9   1008.8       ND
01/01/2019  18:45:00  HBV     0.0       142       3.5         27.5   1009.1       ND
01/01/2019  19:00:00  HBV     0.0       127      12.0         28.0   1009.3       ND
01/01/2019  19:15:00  HBV     0.0       148      10.6         27.9   1009.1       ND
01/01/2019  19:30:00  HBV     0.0       131       7.1         28.2   1009.3       ND
01/01/2019  19:45:00  HBV     0.0       116      10.9         26.4   1009.9       ND
01/01/2019  20:00:00  HBV     0.0       159       6.0         26.7   1009.8       ND
01/01/2019  20:15:00  HBV     0.0       183       6.0         26.7   1009.8       ND
01/01/2019  20:30:00  HBV     0.0       147       4.2         26.7   1010.0       ND
01/01/2019  20:45:00  HBV     0.0       130       3.5         26.4   1010.0       ND
01/01/2019  21:00:00  HBV     0.0       133       3.5         26.2   1010.0       ND
01/01/2019  21:15:00  HBV     0.0         -       0.0         26.2   1010.3       ND
01/01/2019  21:30:00  HBV     0.0       350       1.8         25.9   1010.3       ND
01/01/2019  21:45:00  HBV     0.0         -       0.0         25.8   1010.5       ND
01/01/2019  22:00:00  HBV     0.0       048       2.5         25.3   1010.8       ND
01/01/2019  22:15:00  HBV     0.0         -       0.0         25.4   1010.8       ND
01/01/2019  22:30:00  HBV     0.0       042       1.1         25.6   1010.5       ND
01/01/2019  22:45:00  HBV     0.0       348       3.2         25.3   1010.5       ND
01/01/2019  23:00:00  HBV     0.0         -       0.0         25.6   1010.5       ND
01/01/2019  23:15:00  HBV     0.0       048       2.1         25.4   1010.5       ND
01/01/2019  23:30:00  HBV     0.0         -       0.0         25.1   1010.5       ND
01/01/2019  23:45:00  HBV     0.0       048       1.4         25.3   1010.2       ND
02/01/2019  00:00:00  HBV     0.0       073       2.5         24.9   1010.3       ND
