Relatório Meteorológico da Estação: São Cristóvão

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   Chuva  DirVento  VelVento  Temperatura  Pressao  Umidade
                                     (graus)     (Km/h)    (celsius)    (hPa)      (%)
01/01/2019  00:00:00  HBV     0.0         -       0.0         26.7   1008.7       74
01/01/2019  00:15:00  HBV     0.0         -       0.0         26.3   1008.4       73
01/01/2019  00:30:00  HBV     0.0         -       0.0         26.5   1008.2       73
01/01/2019  00:45:00  HBV     0.0         -       0.0         26.5   1008.0       73
01/01/2019  01:00:00  HBV     0.0         -       0.0         26.4   1007.7       72
01/01/2019  01:15:00  HBV     0.0         -       0.0         26.4   1007.5       71
01/01/2019  01:30:00  HBV     0.0         -       0.0         26.4   1007.5       70
01/01/2019  01:45:00  HBV     0.0         -       0.0         26.4   1007.5       75
01/01/2019  02:00:00  HBV     0.0         -       0.0         26.4   1007.5       76
01/01/2019  02:15:00  HBV     0.0         -       0.0         26.2   1007.5       75
01/01/2019  02:30:00  HBV     0.0         -       0.0         26.4   1007.2       74
01/01/2019  02:45:00  HBV     0.0         -       0.0         26.3   1007.0       75
01/01/2019  03:00:00  HBV     0.0         -       0.0         26.3   1007.0       73
01/01/2019  03:15:00  HBV     0.0         -       0.0         26.3   1007.2       73
01/01/2019  03:30:00  HBV     0.0         -       0.0         26.2   1007.0       69
01/01/2019  03:45:00  HBV     0.0         -       0.0         26.0   1007.2       69
01/01/2019  04:00:00  HBV     0.0         -       0.0         25.8   1007.2       72
01/01/2019  04:15:00  HBV     0.0         -       0.0         25.9   1007.2       73
01/01/2019  04:30:00  HBV     0.0         -       0.0         25.6   1007.5       73
01/01/2019  04:45:00  HBV     0.0         -       0.0         25.7   1007.5       74
01/01/2019  05:00:00  HBV     0.0         -       0.0         25.4   1007.6       75
01/01/2019  05:15:00  HBV     0.0         -       0.0         25.3   1007.7       77
01/01/2019  05:30:00  HBV     0.0         -       0.0         25.2   1007.7       78
01/01/2019  05:45:00  HBV     0.0         -       0.0         25.3   1007.7       78
