id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,civilians_dead,civilians_wounded,agents_dead,agents_wounded,men_dead,men_wounded,women_dead,women_wounded,kids_dead,kids_wounded,teenagers_dead,teenagers_wounded,elderly_dead,elderly_wounded
23186,"Upp Morro do Adeus - Complexo do Alemão, Rio de Janeiro - RJ, 21060-505, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,COMPLEXO DO ALEMAO,,MORRO DO ADEUS (COMPLEXO DO ALEMAO),-22.8649615000,-43.2611910000,"31/12/2018, 22:00:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23177,"Morro do São João - Engenho Novo, Rio de Janeiro - RJ, 20950-370, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,ENGENHO NOVO,,MORRO SAO JOAO,-22.9079866000,-43.2660959000,"31/12/2018, 22:00:00",true,true,PM,Tiros a esmo,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23159,"Senador Camará, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,SENADOR CAMARA,,,-22.8968333000,-43.4877927000,"31/12/2018, 22:02:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23155,"R. Carbonita - Bráz De Pina, Rio de Janeiro - RJ, 21215-210, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,BRAS DE PINA,,QUITUNGO-GUAPORE,-22.8341317000,-43.2921627000,"31/12/2018, 22:04:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23169,"Copacabana - Copacabana, Rio de Janeiro - RJ, 22021-001, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,COPACABANA,,,-22.9669151000,-43.1790000000,"01/01/2019, 00:00:00",false,false,,Não identificado,,,false,0,2,0,0,0,0,0,0,0,0,0,0,0,0
23157,"Pavão-Pavãozinho, Copacabana, Rio de Janeiro - RJ, 22071-060, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,COPACABANA,,MORRO DO PAVAO-PAVAOZINHO,-22.9816912000,-43.1962577000,"01/01/2019, 01:00:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23158,"R. Miguel Cervantes - Cachambi, Rio de Janeiro - RJ, 20780-370, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,CACHAMBI,,CONJUNTO IAPC DO CACHAMBI,-22.8920364000,-43.2679000000,"01/01/2019, 04:09:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23163,"R. Miguel Cervantes - Cachambi, Rio de Janeiro - RJ, 20780-370, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,CACHAMBI,,CONJUNTO IAPC DO CACHAMBI,-22.8920364000,-43.2679000000,"01/01/2019, 08:00:00",true,true,N�o identificado,Ação policial,,,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23172,"Tijuca, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,TIJUCA,,,-22.9325728000,-43.2410248000,"01/01/2019, 18:08:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23184,"R. Lemos Brito - Quintino Bocaiuva, Rio de Janeiro - RJ, 21311-380, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,QUINTINO BOCAIUVA,,FAVELA LEMOS DE BRITO (COMPLEXO DO 18),-22.8941141000,-43.3226422000,"02/01/2019, 06:05:00",true,true,N�o identificado,Operação policial,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23188,"Rua Clarimundo de Melo  - Quintino Bocaiuva, Rio de Janeiro - RJ, 20740-320, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,QUINTINO BOCAIUVA,,MORRO DO SACU (COMPLEXO DO 18),-22.8942464000,-43.3211096000,"02/01/2019, 13:28:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23190,"Colônia, Jacarepagua, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,JACAREPAGUA,,COLONIA JULIANO MOREIRA,-22.9347612000,-43.3933607000,"02/01/2019, 17:00:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23192,"Morro Jorge Turco - Colégio, Rio de Janeiro - RJ, 20765-630, Brasi",Sudeste,Rio de Janeiro,RIO DE JANEIRO,COLEGIO,,MORRO JORGE TURCO,-22.8385252000,-43.3445066000,"02/01/2019, 18:33:00",true,true,N�o identificado,Ação policial,,,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23193,"Padre Miguel, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,PADRE MIGUEL,,,-22.8780979000,-43.4483194000,"02/01/2019, 19:10:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23199,"Rio Comprido, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,RIO COMPRIDO,,,-22.9252336000,-43.2053404000,"02/01/2019, 22:45:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23200,"Tijuca, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,TIJUCA,,,-22.9325728000,-43.2410248000,"02/01/2019, 22:46:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23198,"Santa Cruz, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,SANTA CRUZ,,,-22.9196515000,-43.6843877000,"03/01/2019, 00:05:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23205,"Favela do Dique - Vigário Geral, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,VIGARIO GERAL,,FAVELA DO DIQUE,-22.8018010000,-43.3185535000,"03/01/2019, 04:00:00",true,true,PM,Operação policial,,,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23204,"Morro Dona Marta - Botafogo, Rio de Janeiro - RJ, 22260-140, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,BOTAFOGO,,SANTA MARTA,-22.9478344000,-43.1940703000,"03/01/2019, 04:50:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
