cod;nome;período;valor
5300108;Brasília;1989;42.03
5222302;"Vila Propício";1989;0
5222203;"Vila Boa";1989;0
5222054;Vicentinópolis;1989;76.89
5222005;Vianópolis;1989;21.86
5221908;Varjão;1989;0
5221858;"Valparaíso de Goiás";1989;0
5221809;Urutaí;1989;0
5221700;Uruana;1989;43.9
5221601;Uruaçu;1989;61.48
5221577;Uirapuru;1989;0
5221551;Turvelândia;1989;75.93
5221502;Turvânia;1989;34.72
5221452;Trombas;1989;0
5221403;Trindade;1989;24.32
5221304;"Três Ranchos";1989;0
5221197;"Terezópolis de Goiás";1989;0
5221080;"Teresina de Goiás";1989;0
5221007;"Taquaral de Goiás";1989;0
5220702;"Sítio d'Abadia";1989;0
5220686;Simolândia;1989;0
5220603;Silvânia;1989;10.63
5220504;Serranópolis;1989;49.12
5220454;"Senador Canedo";1989;0
5220405;"São Simão";1989;17.51
5220280;"São Patrício";1989;0
5220264;"São Miguel do Passa Quatro";1989;0
5220207;"São Miguel do Araguaia";1989;10.11
5220157;"São Luíz do Norte";1989;0
5220108;"São Luís de Montes Belos";1989;8
5220058;"São João da Paraúna";1989;98.81
5220009;"São João d'Aliança";1989;74.18
5219902;"São Francisco de Goiás";1989;68.24
5219803;"São Domingos";1989;0
5219753;"Santo Antônio do Descoberto";1989;25.11
5219738;"Santo Antônio de Goiás";1989;0
5219712;"Santo Antônio da Barra";1989;0
5219704;"Santa Terezinha de Goiás";1989;115.07
5219605;"Santa Tereza de Goiás";1989;38.27
5219506;"Santa Rosa de Goiás";1989;48.15
5219456;"Santa Rita do Novo Destino";1989;0
5219407;"Santa Rita do Araguaia";1989;0
5219357;"Santa Isabel";1989;0
5219308;"Santa Helena de Goiás";1989;24.78
5219258;"Santa Fé de Goiás";1989;0
5219209;"Santa Cruz de Goiás";1989;0
5219100;"Santa Bárbara de Goiás";1989;104.22
5219001;Sanclerlândia;1989;0
5218904;Rubiataba;1989;35.95
5218805;"Rio Verde";1989;47.77
5218789;"Rio Quente";1989;0
5218706;Rianápolis;1989;0
5218607;Rialma;1989;0
5218508;Quirinópolis;1989;46.69
5218391;"Professor Jamil";1989;0
5218300;Posse;1989;8.83
5218102;Portelândia;1989;0
5218052;Porteirão;1989;0
5218003;Porangatu;1989;54.42
5217708;Pontalina;1989;26.03
5217609;Planaltina;1989;67.54
5217401;"Pires do Rio";1989;56.39
5217302;Pirenópolis;1989;7.35
5217203;Piranhas;1989;15.5
5217104;Piracanjuba;1989;22.88
5216908;"Pilar de Goiás";1989;0
5216809;"Petrolina de Goiás";1989;17.49
5216452;Perolândia;1989;0
5216403;Paraúna;1989;37.94
5216304;Paranaiguara;1989;0
5216007;Panamá;1989;0
5215900;Palminópolis;1989;0
5215801;Palmelo;1989;0
5215702;"Palmeiras de Goiás";1989;11.55
5215652;"Palestina de Goiás";1989;0
5215603;"Padre Bernardo";1989;24.55
5215504;Ouvidor;1989;0
5215405;"Ouro Verde de Goiás";1989;0
5215306;Orizona;1989;45.97
5215256;"Novo Planalto";1989;0
5215231;"Novo Gama";1989;0
5215207;"Novo Brasil";1989;39.78
5215009;"Nova Veneza";1989;0
5214903;"Nova Roma";1989;0
5214879;"Nova Iguaçu de Goiás";1989;0
5214861;"Nova Glória";1989;45.81
5214838;"Nova Crixás";1989;55.59
5214804;"Nova Aurora";1989;101.73
5214705;"Nova América";1989;0
5214606;Niquelândia;1989;29.16
5214507;Nerópolis;1989;0
5214408;Nazário;1989;31.57
5214101;Mutunópolis;1989;0
5214051;"Mundo Novo";1989;69.3
5214002;Mozarlândia;1989;19.95
5213905;Mossâmedes;1989;20.42
5213855;"Morro Agudo de Goiás";1989;0
5213806;Morrinhos;1989;6.08
5213772;"Montividiu do Norte";1989;0
5213756;Montividiu;1989;0
5213707;"Montes Claros de Goiás";1989;21.85
5213509;"Monte Alegre de Goiás";1989;24.14
5213400;Moiporá;1989;81.97
5213103;Mineiros;1989;40.09
5213087;Minaçu;1989;6.19
5213053;"Mimoso de Goiás";1989;0
5213004;Maurilândia;1989;55.87
5212956;Matrinchã;1989;0
5212907;Marzagão;1989;0
5212808;"Mara Rosa";1989;44.9
5212709;Mambaí;1989;58.7
5212600;Mairipotaba;1989;0
5212501;Luziânia;1989;30.49
5212303;"Leopoldo de Bulhões";1989;55.26
5212253;"Lagoa Santa";1989;0
5212204;Jussara;1989;28.61
5212105;Joviânia;1989;30.5
5212055;Jesúpolis;1989;0
5212006;Jaupaci;1989;0
5211909;Jataí;1989;46.81
5211800;Jaraguá;1989;27.03
