aisp;mes;vano;regiao;regiao_nome
1;1;2003;2;Capital
2;1;2003;2;Capital
3;1;2003;2;Capital
4;1;2003;2;Capital
5;1;2003;2;Capital
6;1;2003;2;Capital
7;1;2003;3;Grande Niterói
8;1;2003;4;Interior
9;1;2003;2;Capital
10;1;2003;4;Interior
11;1;2003;4;Interior
12;1;2003;3;Grande Niterói
14;1;2003;2;Capital
15;1;2003;1;Baixada
16;1;2003;2;Capital
17;1;2003;2;Capital
18;1;2003;2;Capital
19;1;2003;2;Capital
20;1;2003;1;Baixada
22;1;2003;2;Capital
23;1;2003;2;Capital
24;1;2003;1;Baixada
25;1;2003;4;Interior
26;1;2003;4;Interior
27;1;2003;2;Capital
28;1;2003;4;Interior
29;1;2003;4;Interior
30;1;2003;4;Interior
31;1;2003;2;Capital
32;1;2003;4;Interior
33;1;2003;1;Baixada
34;1;2003;4;Interior
35;1;2003;4;Interior
36;1;2003;2;Capital
37;1;2003;4;Interior
1;2;2003;2;Capital
2;2;2003;2;Capital
3;2;2003;2;Capital
4;2;2003;2;Capital
5;2;2003;2;Capital
6;2;2003;2;Capital
7;2;2003;3;Grande Niterói
8;2;2003;4;Interior
9;2;2003;2;Capital
10;2;2003;4;Interior
11;2;2003;4;Interior
12;2;2003;3;Grande Niterói
14;2;2003;2;Capital
15;2;2003;1;Baixada
16;2;2003;2;Capital
17;2;2003;2;Capital
18;2;2003;2;Capital
19;2;2003;2;Capital
20;2;2003;1;Baixada
22;2;2003;2;Capital
23;2;2003;2;Capital
24;2;2003;1;Baixada
25;2;2003;4;Interior
26;2;2003;4;Interior
27;2;2003;2;Capital
28;2;2003;4;Interior
29;2;2003;4;Interior
30;2;2003;4;Interior
31;2;2003;2;Capital
32;2;2003;4;Interior
33;2;2003;1;Baixada
34;2;2003;4;Interior
35;2;2003;4;Interior
36;2;2003;2;Capital
37;2;2003;4;Interior
1;3;2003;2;Capital
2;3;2003;2;Capital
3;3;2003;2;Capital
4;3;2003;2;Capital
5;3;2003;2;Capital
6;3;2003;2;Capital
7;3;2003;3;Grande Niterói
8;3;2003;4;Interior
9;3;2003;2;Capital
10;3;2003;4;Interior
11;3;2003;4;Interior
12;3;2003;3;Grande Niterói
14;3;2003;2;Capital
15;3;2003;1;Baixada
16;3;2003;2;Capital
17;3;2003;2;Capital
18;3;2003;2;Capital
19;3;2003;2;Capital
20;3;2003;1;Baixada
22;3;2003;2;Capital
23;3;2003;2;Capital
24;3;2003;1;Baixada
25;3;2003;4;Interior
26;3;2003;4;Interior
27;3;2003;2;Capital
28;3;2003;4;Interior
29;3;2003;4;Interior
30;3;2003;4;Interior
31;3;2003;2;Capital
32;3;2003;4;Interior
33;3;2003;1;Baixada
34;3;2003;4;Interior
35;3;2003;4;Interior
36;3;2003;2;Capital
37;3;2003;4;Interior
1;4;2003;2;Capital
2;4;2003;2;Capital
3;4;2003;2;Capital
4;4;2003;2;Capital
5;4;2003;2;Capital
6;4;2003;2;Capital
7;4;2003;3;Grande Niterói
8;4;2003;4;Interior
9;4;2003;2;Capital
