aisp;mes;vano;circ
1;1;2003;6
1;1;2003;7
2;1;2003;9
2;1;2003;10
3;1;2003;23
3;1;2003;24
3;1;2003;25
3;1;2003;26
3;1;2003;44
4;1;2003;17
5;1;2003;1
5;1;2003;4
5;1;2003;5
6;1;2003;18
6;1;2003;19
6;1;2003;20
7;1;2003;72
7;1;2003;73
7;1;2003;74
7;1;2003;75
8;1;2003;134
8;1;2003;141
8;1;2003;145
8;1;2003;146
9;1;2003;27
9;1;2003;28
9;1;2003;29
9;1;2003;30
9;1;2003;39
9;1;2003;40
10;1;2003;88
10;1;2003;91
10;1;2003;92
10;1;2003;94
10;1;2003;95
10;1;2003;96
10;1;2003;97
10;1;2003;98
10;1;2003;107
10;1;2003;108
10;1;2003;109
10;1;2003;168
11;1;2003;111
11;1;2003;112
11;1;2003;151
11;1;2003;152
11;1;2003;153
11;1;2003;154
11;1;2003;156
11;1;2003;157
11;1;2003;158
11;1;2003;159
12;1;2003;76
12;1;2003;77
12;1;2003;78
12;1;2003;79
12;1;2003;81
12;1;2003;82
14;1;2003;31
14;1;2003;33
14;1;2003;34
15;1;2003;59
15;1;2003;60
15;1;2003;61
15;1;2003;62
16;1;2003;22
16;1;2003;38
17;1;2003;37
18;1;2003;32
18;1;2003;41
19;1;2003;12
19;1;2003;13
20;1;2003;52
20;1;2003;53
20;1;2003;54
20;1;2003;56
20;1;2003;57
20;1;2003;58
20;1;2003;64
22;1;2003;21
23;1;2003;14
23;1;2003;15
24;1;2003;48
24;1;2003;50
24;1;2003;51
24;1;2003;55
25;1;2003;118
25;1;2003;124
25;1;2003;125
25;1;2003;126
25;1;2003;127
25;1;2003;129
26;1;2003;105
26;1;2003;106
27;1;2003;36
28;1;2003;89
28;1;2003;90
28;1;2003;93
28;1;2003;99
28;1;2003;100
29;1;2003;138
29;1;2003;139
29;1;2003;140
29;1;2003;143
29;1;2003;144
30;1;2003;104
30;1;2003;110
31;1;2003;35
32;1;2003;165
32;1;2003;166
32;1;2003;167
34;1;2003;65
34;1;2003;66
34;1;2003;121
34;1;2003;122
34;1;2003;123
34;1;2003;128
35;1;2003;71
35;1;2003;119
35;1;2003;120
36;1;2003;16
37;1;2003;135
37;1;2003;136
37;1;2003;137
37;1;2003;142
37;1;2003;155
1;2;2003;6
1;2;2003;7
2;2;2003;9
2;2;2003;10
3;2;2003;23
3;2;2003;24
3;2;2003;25
3;2;2003;26
3;2;2003;44
4;2;2003;17
5;2;2003;1
5;2;2003;4
5;2;2003;5
6;2;2003;18
6;2;2003;19
6;2;2003;20
7;2;2003;72
7;2;2003;73
7;2;2003;74
7;2;2003;75
8;2;2003;134
8;2;2003;141
8;2;2003;145
8;2;2003;146
9;2;2003;27
9;2;2003;28
9;2;2003;29
9;2;2003;30
9;2;2003;39
9;2;2003;40
10;2;2003;88
10;2;2003;91
10;2;2003;92
10;2;2003;94
10;2;2003;95
10;2;2003;96
10;2;2003;97
10;2;2003;98
10;2;2003;107
10;2;2003;108
10;2;2003;109
10;2;2003;168
11;2;2003;111
11;2;2003;112
11;2;2003;151
11;2;2003;152
11;2;2003;153
11;2;2003;154
11;2;2003;156
11;2;2003;157
11;2;2003;158
11;2;2003;159
12;2;2003;76
12;2;2003;77
12;2;2003;78
12;2;2003;79
12;2;2003;81
12;2;2003;82
14;2;2003;31
14;2;2003;33
14;2;2003;34
15;2;2003;59
15;2;2003;60
15;2;2003;61
15;2;2003;62
16;2;2003;22
16;2;2003;38
17;2;2003;37
18;2;2003;32
18;2;2003;41
19;2;2003;12
19;2;2003;13
20;2;2003;52
20;2;2003;53
20;2;2003;54
20;2;2003;56
20;2;2003;57
20;2;2003;58
20;2;2003;64
22;2;2003;21
23;2;2003;14
23;2;2003;15
24;2;2003;48
24;2;2003;50
24;2;2003;51
24;2;2003;55
25;2;2003;118
25;2;2003;124
25;2;2003;125
25;2;2003;126
25;2;2003;127
25;2;2003;129
26;2;2003;105
26;2;2003;106
27;2;2003;36
28;2;2003;89
28;2;2003;90
28;2;2003;93
28;2;2003;99
28;2;2003;100
29;2;2003;138
29;2;2003;139
29;2;2003;140
29;2;2003;143
29;2;2003;144
